TOWN_NM,VILL_NM,DPP,KMT,total_vote,eligible_vote,HSN_NM,year
　北投區,建民里,1087,971,2082,3364,臺北市,2008
　北投區,文林里,1063,1298,2394,3677,臺北市,2008
　北投區,石牌里,1182,1440,2655,4267,臺北市,2008
　北投區,福興里,1499,2005,3561,5477,臺北市,2008
　北投區,榮光里,1299,2102,3439,5699,臺北市,2008
　北投區,榮華里,1380,2455,3886,6172,臺北市,2008
　北投區,裕民里,1455,2302,3816,5945,臺北市,2008
　北投區,振華里,1490,2545,4102,6396,臺北市,2008
　北投區,永和里,1637,2541,4232,6944,臺北市,2008
　北投區,永欣里,1138,2508,3705,5888,臺北市,2008
　北投區,永明里,804,1501,2336,3687,臺北市,2008
　北投區,東華里,813,1627,2472,3732,臺北市,2008
　北投區,吉利里,1055,2276,3383,5207,臺北市,2008
　北投區,吉慶里,1156,1413,2614,4097,臺北市,2008
　北投區,尊賢里,1070,1271,2371,3816,臺北市,2008
　北投區,立賢里,1042,1435,2502,4218,臺北市,2008
　北投區,立農里,1873,2501,4445,6999,臺北市,2008
　北投區,八仙里,1114,1312,2453,4096,臺北市,2008
　北投區,洲美里,551,322,886,1594,臺北市,2008
　北投區,奇岩里,1829,2816,4720,7751,臺北市,2008
　北投區,清江里,1905,2363,4335,7732,臺北市,2008
　北投區,中央里,1669,1803,3525,6052,臺北市,2008
　北投區,長安里,1240,1618,2898,4936,臺北市,2008
　北投區,大同里,1325,1587,2969,4962,臺北市,2008
　北投區,溫泉里,1325,1804,3161,5177,臺北市,2008
　北投區,林泉里,419,1163,1605,2771,臺北市,2008
　北投區,中心里,1106,1671,2822,5034,臺北市,2008
　北投區,中庸里,923,1170,2131,3542,臺北市,2008
　北投區,開明里,1151,2099,3278,5268,臺北市,2008
　北投區,中和里,919,1618,2575,4135,臺北市,2008
　北投區,智仁里,1024,1936,2996,4803,臺北市,2008
　北投區,秀山里,586,1143,1745,2882,臺北市,2008
　北投區,文化里,457,1714,2194,3349,臺北市,2008
　北投區,豐年里,771,1241,2032,3370,臺北市,2008
　北投區,稻香里,731,1493,2256,4009,臺北市,2008
　北投區,桃源里,1143,1521,2696,4449,臺北市,2008
　北投區,一德里,1382,1627,3054,5230,臺北市,2008
　北投區,關渡里,2006,3065,5141,8674,臺北市,2008
　北投區,泉源里,531,559,1109,1984,臺北市,2008
　北投區,湖山里,406,556,983,1699,臺北市,2008
　北投區,大屯里,322,205,538,1012,臺北市,2008
　北投區,湖田里,192,224,424,814,臺北市,2008
　士林區,天母里,1194,2122,3346,5364,臺北市,2008
　士林區,三玉里,1086,1722,2847,4628,臺北市,2008
　士林區,天福里,1146,1998,3190,5059,臺北市,2008
　士林區,天祿里,1073,1585,2708,4230,臺北市,2008
　士林區,天壽里,925,1529,2488,3954,臺北市,2008
　士林區,天山里,1185,2152,3377,5650,臺北市,2008
　士林區,天和里,1361,2449,3856,6200,臺北市,2008
　士林區,天玉里,1495,2660,4207,6860,臺北市,2008
　士林區,德行里,862,1217,2108,3410,臺北市,2008
　士林區,德華里,1291,1552,2877,4761,臺北市,2008
　士林區,忠誠里,775,2209,3033,4667,臺北市,2008
　士林區,蘭雅里,1643,2732,4443,7218,臺北市,2008
　士林區,蘭興里,1302,1946,3299,5096,臺北市,2008
　士林區,仁勇里,899,1149,2084,3415,臺北市,2008
　士林區,義信里,601,999,1637,2705,臺北市,2008
　士林區,福林里,558,899,1490,2405,臺北市,2008
　士林區,福德里,842,1302,2197,4590,臺北市,2008
　士林區,福志里,1324,2704,4109,6382,臺北市,2008
　士林區,舊佳里,1419,1824,3310,5280,臺北市,2008
　士林區,福佳里,1593,2297,3968,6220,臺北市,2008
　士林區,後港里,1795,2153,4024,6574,臺北市,2008
　士林區,福中里,1358,1364,2764,4480,臺北市,2008
　士林區,前港里,987,1145,2165,3512,臺北市,2008
　士林區,百齡里,1632,1876,3571,5868,臺北市,2008
　士林區,承德里,1026,1696,2775,4499,臺北市,2008
　士林區,福華里,1408,1864,3318,5491,臺北市,2008
　士林區,明勝里,1098,1310,2467,4058,臺北市,2008
　士林區,福順里,1324,1250,2628,4285,臺北市,2008
　士林區,富光里,1489,1408,2930,4843,臺北市,2008
　士林區,葫蘆里,1598,2207,3856,6080,臺北市,2008
　士林區,葫東里,980,847,1879,3118,臺北市,2008
　士林區,社子里,1467,1518,3030,5099,臺北市,2008
　士林區,社新里,2114,1897,4076,6866,臺北市,2008
　士林區,社園里,1954,1647,3657,5866,臺北市,2008
　士林區,永倫里,1910,1643,3614,5887,臺北市,2008
　士林區,福安里,1724,599,2342,3899,臺北市,2008
　士林區,富洲里,1816,1025,2864,4459,臺北市,2008
　士林區,岩山里,580,1354,1980,3183,臺北市,2008
　士林區,名山里,1283,2378,3749,5904,臺北市,2008
　士林區,聖山里,762,1820,2632,4108,臺北市,2008
　士林區,芝山里,1238,2318,3644,5942,臺北市,2008
　士林區,東山里,761,1990,2802,4269,臺北市,2008
　士林區,永福里,343,303,667,1196,臺北市,2008
　士林區,公館里,373,281,665,1218,臺北市,2008
　士林區,新安里,570,507,1096,1797,臺北市,2008
　士林區,陽明里,647,900,1582,2651,臺北市,2008
　士林區,菁山里,370,438,820,1411,臺北市,2008
　士林區,平等里,516,207,732,1184,臺北市,2008
　士林區,溪山里,360,347,717,1262,臺北市,2008
　士林區,翠山里,247,1258,1547,2478,臺北市,2008
　士林區,臨溪里,544,1000,1566,2522,臺北市,2008
　大同區,玉泉里,640,888,1555,2652,臺北市,2008
　大同區,建明里,877,768,1684,2808,臺北市,2008
　大同區,建功里,1141,1218,2392,3941,臺北市,2008
　大同區,建泰里,933,839,1807,2912,臺北市,2008
　大同區,永樂里,1279,1261,2602,4380,臺北市,2008
　大同區,朝陽里,911,1007,1954,3349,臺北市,2008
　大同區,星明里,1174,1350,2581,4271,臺北市,2008
　大同區,光能里,1328,1250,2639,4168,臺北市,2008
　大同區,大有里,1318,1199,2559,4076,臺北市,2008
　大同區,延平里,933,1072,2047,3375,臺北市,2008
　大同區,雙連里,2303,2263,4667,7534,臺北市,2008
　大同區,南芳里,950,962,1950,3230,臺北市,2008
　大同區,民權里,1320,1771,3146,5033,臺北市,2008
　大同區,景星里,750,685,1453,2451,臺北市,2008
　大同區,隆和里,868,783,1679,2701,臺北市,2008
　大同區,蓬萊里,1125,1168,2340,3868,臺北市,2008
　大同區,國順里,952,648,1633,2597,臺北市,2008
　大同區,國慶里,959,1040,2032,3319,臺北市,2008
　大同區,揚雅里,807,791,1636,3163,臺北市,2008
　大同區,斯文里,1370,1249,2653,4422,臺北市,2008
　大同區,鄰江里,1694,1528,3266,5138,臺北市,2008
　大同區,至聖里,1923,1891,3885,6296,臺北市,2008
　大同區,老師里,1516,1345,2907,4750,臺北市,2008
　大同區,重慶里,1338,1663,3029,4673,臺北市,2008
　大同區,保安里,1200,1023,2267,3523,臺北市,2008
　中山區,正守里,657,789,1468,2453,臺北市,2008
　中山區,正義里,791,1286,2112,3791,臺北市,2008
　中山區,正得里,598,886,1510,2663,臺北市,2008
　中山區,民安里,1214,1233,2476,4087,臺北市,2008
　中山區,康樂里,415,655,1082,1971,臺北市,2008
　中山區,中山里,1002,1356,2408,4428,臺北市,2008
　中山區,聚盛里,656,893,1580,3119,臺北市,2008
　中山區,集英里,1476,1532,3072,5060,臺北市,2008
　中山區,聚葉里,768,942,1734,3064,臺北市,2008
　中山區,恆安里,754,1007,1782,3233,臺北市,2008
　中山區,晴光里,803,1213,2042,3917,臺北市,2008
　中山區,圓山里,823,934,1795,3205,臺北市,2008
　中山區,新庄里,1119,1311,2455,4071,臺北市,2008
　中山區,劍潭里,227,1902,2151,3208,臺北市,2008
　中山區,大直里,1712,3167,4923,7666,臺北市,2008
　中山區,成功里,805,1231,2058,3443,臺北市,2008
　中山區,永安里,1597,2696,4363,7017,臺北市,2008
　中山區,大佳里,384,230,625,989,臺北市,2008
　中山區,金泰里,1069,1872,2992,4865,臺北市,2008
　中山區,北安里,386,1061,1469,2231,臺北市,2008
　中山區,新喜里,1226,1340,2594,4157,臺北市,2008
　中山區,新福里,1305,1217,2562,4295,臺北市,2008
　中山區,松江里,1483,1678,3214,5044,臺北市,2008
　中山區,新生里,1223,1203,2462,4035,臺北市,2008
　中山區,中庄里,1260,1388,2684,4367,臺北市,2008
　中山區,行政里,1243,1489,2756,5816,臺北市,2008
　中山區,行仁里,1953,2106,4112,6659,臺北市,2008
　中山區,行孝里,907,1113,2049,3455,臺北市,2008
　中山區,下埤里,1675,1996,3721,6065,臺北市,2008
　中山區,江寧里,1409,1949,3397,5593,臺北市,2008
　中山區,江山里,1770,2109,3927,6380,臺北市,2008
　中山區,中吉里,1350,1268,2652,4230,臺北市,2008
　中山區,中原里,1155,1240,2421,3998,臺北市,2008
　中山區,興亞里,1140,1336,2508,4193,臺北市,2008
　中山區,中央里,750,1044,1812,2967,臺北市,2008
　中山區,朱馥里,1134,1723,2893,4843,臺北市,2008
　中山區,龍洲里,580,2213,2820,4274,臺北市,2008
　中山區,朱園里,930,1052,2018,3454,臺北市,2008
　中山區,埤頭里,784,1072,1873,2974,臺北市,2008
　中山區,朱崙里,637,829,1490,2487,臺北市,2008
　中山區,力行里,1388,1520,2954,4891,臺北市,2008
　中山區,復華里,668,1427,2121,3513,臺北市,2008
　松山區,精忠里,754,1453,2226,3699,臺北市,2008
　松山區,東光里,1301,2367,3717,6071,臺北市,2008
　松山區,龍田里,1089,3771,4920,7630,臺北市,2008
　松山區,東昌里,574,833,1428,2231,臺北市,2008
　松山區,東勢里,863,1403,2305,3659,臺北市,2008
　松山區,中華里,1069,2137,3250,5083,臺北市,2008
　松山區,民有里,1858,2533,4443,7139,臺北市,2008
　松山區,民福里,1020,2305,3359,5310,臺北市,2008
　松山區,松基里,790,1108,1939,3119,臺北市,2008
　松山區,莊敬里,961,1913,2909,4705,臺北市,2008
　松山區,東榮里,1526,2653,4237,6746,臺北市,2008
　松山區,新益里,927,1377,2337,3770,臺北市,2008
　松山區,新東里,914,1555,2496,4063,臺北市,2008
　松山區,介壽里,916,1361,2301,3732,臺北市,2008
　松山區,三民里,1219,2282,3545,5668,臺北市,2008
　松山區,富錦里,881,1738,2650,4267,臺北市,2008
　松山區,富泰里,679,1634,2338,3808,臺北市,2008
　松山區,自強里,630,4583,5246,7821,臺北市,2008
　松山區,鵬程里,792,2240,3064,4739,臺北市,2008
　松山區,安平里,1784,2205,4043,6810,臺北市,2008
　內湖區,西湖里,1506,2200,3779,6193,臺北市,2008
　內湖區,西康里,1306,2765,4151,6735,臺北市,2008
　內湖區,西安里,1116,2034,3217,5247,臺北市,2008
　內湖區,港墘里,1092,1705,2852,4606,臺北市,2008
　內湖區,港都里,974,1488,2518,4081,臺北市,2008
　內湖區,麗山里,1103,1442,2609,4216,臺北市,2008
　內湖區,港富里,1795,2564,4451,7287,臺北市,2008
　內湖區,港華里,1442,2416,3961,6420,臺北市,2008
　內湖區,內湖里,934,1806,2798,4683,臺北市,2008
　內湖區,湖濱里,1106,2480,3683,5961,臺北市,2008
　內湖區,紫星里,1486,2413,3973,6576,臺北市,2008
　內湖區,大湖里,799,1594,2435,4035,臺北市,2008
　內湖區,秀湖里,965,2002,3042,4883,臺北市,2008
　內湖區,金龍里,963,1689,2710,4517,臺北市,2008
　內湖區,金瑞里,1154,1981,3189,5135,臺北市,2008
　內湖區,碧山里,1113,2029,3212,5403,臺北市,2008
　內湖區,紫雲里,718,2175,2961,4631,臺北市,2008
　內湖區,清白里,1113,2471,3661,6092,臺北市,2008
　內湖區,葫洲里,1314,3313,4752,7808,臺北市,2008
　內湖區,金湖里,1044,2412,3545,5801,臺北市,2008
　內湖區,康寧里,1151,2458,3695,6138,臺北市,2008
　內湖區,明湖里,816,1384,2268,3636,臺北市,2008
　內湖區,紫陽里,1204,2212,3492,5958,臺北市,2008
　內湖區,瑞陽里,996,3151,4240,6273,臺北市,2008
　內湖區,瑞光里,598,1759,2402,3707,臺北市,2008
　內湖區,五分里,1582,2384,4094,7128,臺北市,2008
　內湖區,東湖里,1378,2175,3649,6226,臺北市,2008
　內湖區,安湖里,1159,2107,3373,5542,臺北市,2008
　內湖區,樂康里,1416,2194,3713,6452,臺北市,2008
　內湖區,內溝里,799,1253,2093,3448,臺北市,2008
　內湖區,安泰里,737,1478,2274,3821,臺北市,2008
　內湖區,蘆洲里,274,241,528,911,臺北市,2008
　內湖區,週美里,1165,1129,2339,4058,臺北市,2008
　內湖區,行善里,1332,1707,3114,5173,臺北市,2008
　內湖區,石潭里,319,449,782,1343,臺北市,2008
　內湖區,湖興里,1943,3362,5407,9944,臺北市,2008
　內湖區,湖元里,920,1561,2524,4192,臺北市,2008
　南港區,南港里,1109,1652,2827,5033,臺北市,2008
　南港區,中南里,834,972,1841,3216,臺北市,2008
　南港區,三重里,634,877,1558,2726,臺北市,2008
　南港區,新富里,800,1060,1899,3181,臺北市,2008
　南港區,中研里,1585,2658,4377,7159,臺北市,2008
　南港區,九如里,917,2152,3142,5065,臺北市,2008
　南港區,舊莊里,1607,2248,3936,7015,臺北市,2008
　南港區,東新里,1639,2789,4536,7515,臺北市,2008
　南港區,東明里,775,1462,2277,3795,臺北市,2008
　南港區,西新里,1080,965,2082,3596,臺北市,2008
　南港區,玉成里,1005,1245,2303,3810,臺北市,2008
　南港區,合成里,1335,2068,3494,5734,臺北市,2008
　南港區,新光里,643,1288,1977,3128,臺北市,2008
　南港區,聯成里,906,1703,2666,4243,臺北市,2008
　南港區,萬福里,674,1477,2209,3402,臺北市,2008
　南港區,鴻福里,894,1376,2329,3790,臺北市,2008
　南港區,百福里,921,1421,2408,4101,臺北市,2008
　南港區,成福里,1083,2132,3285,5456,臺北市,2008
　南港區,仁福里,731,1847,2640,4389,臺北市,2008
　萬華區,福星里,996,1582,2604,4401,臺北市,2008
　萬華區,萬壽里,614,974,1599,2970,臺北市,2008
　萬華區,西門里,613,1166,1790,3232,臺北市,2008
　萬華區,新起里,1537,1837,3403,5567,臺北市,2008
　萬華區,菜園里,1557,1472,3057,4917,臺北市,2008
　萬華區,青山里,1417,1405,2835,4650,臺北市,2008
　萬華區,富民里,1553,1224,2791,4362,臺北市,2008
　萬華區,福音里,1010,995,2017,3024,臺北市,2008
　萬華區,仁德里,1177,1216,2416,3570,臺北市,2008
　萬華區,富福里,1357,1138,2512,4149,臺北市,2008
　萬華區,柳鄉里,1521,1211,2756,4482,臺北市,2008
　萬華區,華江里,2053,2291,4384,6946,臺北市,2008
　萬華區,糖�里,1342,1513,2877,4665,臺北市,2008
　萬華區,綠堤里,987,1269,2279,3772,臺北市,2008
　萬華區,頂碩里,2290,1887,4211,7055,臺北市,2008
　萬華區,雙園里,1306,1156,2485,3902,臺北市,2008
　萬華區,和平里,2052,1645,3736,5981,臺北市,2008
　萬華區,和德里,1766,1687,3493,5860,臺北市,2008
　萬華區,全德里,1029,1235,2275,3521,臺北市,2008
　萬華區,日善里,957,1067,2037,3149,臺北市,2008
　萬華區,壽德里,1289,1506,2820,4421,臺北市,2008
　萬華區,忠德里,1290,1140,2457,3719,臺北市,2008
　萬華區,錦德里,1333,1472,2835,4512,臺北市,2008
　萬華區,銘德里,1270,1240,2533,3956,臺北市,2008
　萬華區,孝德里,923,744,1682,2631,臺北市,2008
　萬華區,保德里,785,846,1644,2446,臺北市,2008
　萬華區,榮德里,1005,1062,2095,3198,臺北市,2008
　萬華區,華中里,1635,1609,3268,5128,臺北市,2008
　萬華區,興德里,1171,1236,2428,3948,臺北市,2008
　萬華區,日祥里,831,1721,2583,3978,臺北市,2008
　萬華區,忠貞里,703,2166,2898,4249,臺北市,2008
　萬華區,新忠里,304,1824,2139,3172,臺北市,2008
　萬華區,新和里,905,4114,5043,7360,臺北市,2008
　萬華區,新安里,1074,2303,3405,5315,臺北市,2008
　萬華區,凌霄里,575,1515,2113,3342,臺北市,2008
　萬華區,騰雲里,522,1218,1754,2616,臺北市,2008
　中正區,南門里,400,998,1408,2220,臺北市,2008
　中正區,新營里,1127,3088,4242,6481,臺北市,2008
　中正區,龍福里,1066,2087,3174,5810,臺北市,2008
　中正區,南福里,1540,2867,4432,6876,臺北市,2008
　中正區,愛國里,698,967,1675,2588,臺北市,2008
　中正區,廈安里,750,1162,1922,3020,臺北市,2008
　中正區,忠勤里,1239,2248,3525,5642,臺北市,2008
　中正區,永功里,1361,1806,3189,5073,臺北市,2008
　中正區,永昌里,1070,1698,2796,4324,臺北市,2008
　中正區,龍興里,696,1228,1937,3047,臺北市,2008
　中正區,龍光里,567,1181,1757,2728,臺北市,2008
　中正區,黎明里,469,959,1439,2497,臺北市,2008
　中正區,光復里,721,1102,1845,3071,臺北市,2008
　中正區,建國里,167,426,594,1005,臺北市,2008
　中正區,東門里,593,1603,2212,3584,臺北市,2008
　中正區,幸福里,844,1460,2325,3744,臺北市,2008
　中正區,梅花里,668,1051,1738,2783,臺北市,2008
　中正區,幸市里,956,1279,2254,3559,臺北市,2008
　中正區,文北里,970,1653,2640,4167,臺北市,2008
　中正區,文祥里,1309,2396,3730,5878,臺北市,2008
　中正區,三愛里,1520,2503,4059,6353,臺北市,2008
　大安區,德安里,917,1972,2908,4775,臺北市,2008
　大安區,仁慈里,913,1555,2484,4022,臺北市,2008
　大安區,和安里,1016,2280,3327,5308,臺北市,2008
　大安區,民炤里,1552,2360,3935,6372,臺北市,2008
　大安區,仁愛里,891,1745,2660,4777,臺北市,2008
　大安區,義村里,737,2674,3440,5430,臺北市,2008
　大安區,民輝里,1255,2120,3399,5686,臺北市,2008
　大安區,昌隆里,734,972,1718,2741,臺北市,2008
　大安區,誠安里,907,1346,2271,3682,臺北市,2008
　大安區,光武里,1310,2449,3783,6619,臺北市,2008
　大安區,龍坡里,962,2089,3068,4779,臺北市,2008
　大安區,龍泉里,818,1354,2184,3610,臺北市,2008
　大安區,古風里,769,1337,2118,3443,臺北市,2008
　大安區,古莊里,1163,2178,3369,5440,臺北市,2008
　大安區,龍安里,1013,1839,2873,5625,臺北市,2008
　大安區,錦安里,851,1860,2730,4275,臺北市,2008
　大安區,福住里,969,1832,2818,4533,臺北市,2008
　大安區,永康里,570,1134,1718,2742,臺北市,2008
　大安區,光明里,600,1311,1928,2959,臺北市,2008
　大安區,錦泰里,674,1901,2589,3919,臺北市,2008
　大安區,錦華里,863,1796,2671,4125,臺北市,2008
　大安區,龍圖里,1067,2252,3339,5446,臺北市,2008
　大安區,新龍里,733,2682,3444,5291,臺北市,2008
　大安區,龍陣里,582,1247,1843,2986,臺北市,2008
　大安區,龍雲里,913,1604,2536,4079,臺北市,2008
　大安區,龍生里,966,2347,3327,5102,臺北市,2008
　大安區,住安里,865,1722,2609,4338,臺北市,2008
　大安區,義安里,825,1942,2797,4557,臺北市,2008
　大安區,通化里,1325,1676,3030,4990,臺北市,2008
　大安區,通安里,1030,1829,2878,4702,臺北市,2008
　大安區,臨江里,784,1397,2201,3474,臺北市,2008
　大安區,法治里,684,1652,2351,3673,臺北市,2008
　大安區,全安里,725,1536,2277,3698,臺北市,2008
　大安區,群賢里,897,2189,3108,5099,臺北市,2008
　大安區,群英里,634,3258,3919,5938,臺北市,2008
　大安區,虎嘯里,534,1291,1839,3021,臺北市,2008
　大安區,臥龍里,275,770,1048,1723,臺北市,2008
　大安區,龍淵里,1501,3017,4538,6981,臺北市,2008
　大安區,龍門里,712,1414,2147,3347,臺北市,2008
　大安區,大學里,1367,2667,4066,6566,臺北市,2008
　大安區,芳和里,1027,2184,3254,5197,臺北市,2008
　大安區,黎元里,943,1871,2837,4517,臺北市,2008
　大安區,黎孝里,1269,2793,4094,6341,臺北市,2008
　大安區,黎和里,658,1670,2351,3725,臺北市,2008
　大安區,建安里,814,1658,2495,4193,臺北市,2008
　大安區,建倫里,991,1916,2928,5093,臺北市,2008
　大安區,敦安里,1079,1821,2929,5043,臺北市,2008
　大安區,正聲里,742,1644,2399,4104,臺北市,2008
　大安區,敦煌里,1055,1877,2952,4927,臺北市,2008
　大安區,華聲里,700,1440,2152,3583,臺北市,2008
　大安區,車層里,1197,2036,3254,5462,臺北市,2008
　大安區,光信里,1369,2437,3837,6404,臺北市,2008
　大安區,學府里,493,1351,1864,2931,臺北市,2008
　松山區,慈祐里,1289,1446,2863,5777,臺北市,2008
　松山區,吉祥里,1390,2679,4208,6951,臺北市,2008
　松山區,新聚里,1416,2370,3904,6369,臺北市,2008
　松山區,復盛里,1042,2187,3324,5278,臺北市,2008
　松山區,中正里,1597,2399,4115,6969,臺北市,2008
　松山區,中崙里,718,1203,1971,3151,臺北市,2008
　松山區,美仁里,608,964,1605,2691,臺北市,2008
　松山區,吉仁里,690,1252,1986,3213,臺北市,2008
　松山區,敦化里,1362,2127,3591,5702,臺北市,2008
　松山區,復源里,501,1039,1578,2570,臺北市,2008
　松山區,復建里,629,1433,2121,3469,臺北市,2008
　松山區,復勢里,1182,1744,3005,4845,臺北市,2008
　松山區,福成里,473,832,1350,2163,臺北市,2008
　信義區,西村里,355,2246,2656,4875,臺北市,2008
　信義區,正和里,566,1829,2452,3877,臺北市,2008
　信義區,興隆里,397,1035,1471,2512,臺北市,2008
　信義區,中興里,449,961,1450,2631,臺北市,2008
　信義區,新仁里,402,1316,1789,2839,臺北市,2008
　信義區,興雅里,959,2021,3051,4925,臺北市,2008
　信義區,敦厚里,715,1625,2391,4077,臺北市,2008
　信義區,廣居里,1062,2620,3769,6137,臺北市,2008
　信義區,安康里,1234,2838,4165,6909,臺北市,2008
　信義區,六藝里,707,1079,1831,2962,臺北市,2008
　信義區,雅祥里,913,1402,2377,3960,臺北市,2008
　信義區,五常里,668,1159,1857,3099,臺北市,2008
　信義區,五全里,1129,1478,2666,4261,臺北市,2008
　信義區,永吉里,950,973,1967,3695,臺北市,2008
　信義區,長春里,822,1269,2141,3533,臺北市,2008
　信義區,四育里,1104,1667,2846,4654,臺北市,2008
　信義區,四維里,821,1857,2741,4572,臺北市,2008
　信義區,永春里,934,1521,2521,4247,臺北市,2008
　信義區,富臺里,433,1680,2152,3460,臺北市,2008
　信義區,國業里,1126,2511,3709,6066,臺北市,2008
　信義區,松隆里,346,738,1103,1977,臺北市,2008
　信義區,松友里,931,2231,3226,5376,臺北市,2008
　信義區,松光里,962,1623,2629,4379,臺北市,2008
　信義區,中坡里,809,1485,2342,3808,臺北市,2008
　信義區,中行里,1506,2412,4020,6557,臺北市,2008
　信義區,大道里,1177,1997,3248,5401,臺北市,2008
　信義區,大仁里,815,1544,2422,3856,臺北市,2008
　信義區,景新里,660,1789,2499,4048,臺北市,2008
　信義區,惠安里,895,2522,3488,5475,臺北市,2008
　信義區,三張里,1311,3313,4711,7573,臺北市,2008
　信義區,三犁里,684,1858,2585,4173,臺北市,2008
　信義區,六合里,777,2626,3474,5679,臺北市,2008
　信義區,泰和里,1122,2765,3941,6538,臺北市,2008
　信義區,景聯里,724,1686,2459,3908,臺北市,2008
　信義區,景勤里,564,1555,2165,3575,臺北市,2008
　信義區,雙和里,962,2743,3776,5924,臺北市,2008
　信義區,嘉興里,587,1063,1685,2741,臺北市,2008
　信義區,黎順里,576,1341,1959,3350,臺北市,2008
　信義區,黎平里,1063,2400,3541,5643,臺北市,2008
　信義區,黎忠里,725,1613,2407,4020,臺北市,2008
　信義區,黎安里,220,1079,1309,2080,臺北市,2008
　中正區,水源里,555,871,1457,2515,臺北市,2008
　中正區,富水里,244,1338,1601,2480,臺北市,2008
　中正區,文盛里,491,894,1415,2245,臺北市,2008
　中正區,林興里,639,1740,2419,3858,臺北市,2008
　中正區,河堤里,713,1707,2457,3894,臺北市,2008
　中正區,螢圃里,952,1872,2875,4465,臺北市,2008
　中正區,網溪里,875,1841,2781,4387,臺北市,2008
　中正區,板溪里,558,1154,1747,2847,臺北市,2008
　中正區,頂東里,1008,1910,2981,4750,臺北市,2008
　中正區,螢雪里,796,1482,2314,3683,臺北市,2008
　文山區,景行里,1081,1663,2815,4592,臺北市,2008
　文山區,景東里,741,2629,3427,5519,臺北市,2008
　文山區,景美里,708,1695,2435,3869,臺北市,2008
　文山區,景慶里,911,2327,3300,5250,臺北市,2008
　文山區,景仁里,661,1657,2370,3652,臺北市,2008
　文山區,景華里,789,2107,2948,4684,臺北市,2008
　文山區,萬有里,703,1774,2522,3813,臺北市,2008
　文山區,萬祥里,682,1700,2431,3757,臺北市,2008
　文山區,萬隆里,957,2853,3887,5948,臺北市,2008
　文山區,萬年里,828,1905,2789,4400,臺北市,2008
　文山區,萬和里,267,831,1121,1738,臺北市,2008
　文山區,萬盛里,584,1772,2404,3810,臺北市,2008
　文山區,興豐里,1069,3549,4689,7357,臺北市,2008
　文山區,興光里,406,1122,1560,2546,臺北市,2008
　文山區,興家里,861,2954,3866,6046,臺北市,2008
　文山區,興得里,733,2244,3029,4977,臺北市,2008
　文山區,興業里,547,2222,2816,4864,臺北市,2008
　文山區,興安里,773,2505,3334,5066,臺北市,2008
　文山區,興福里,844,2152,3053,4695,臺北市,2008
　文山區,興旺里,739,2866,3664,5785,臺北市,2008
　文山區,興泰里,434,1434,1890,3013,臺北市,2008
　文山區,興昌里,695,2564,3322,5406,臺北市,2008
　文山區,試院里,701,2708,3465,5361,臺北市,2008
　文山區,華興里,931,2817,3826,6085,臺北市,2008
　文山區,明義里,510,1588,2134,3853,臺北市,2008
　文山區,明興里,783,2622,3460,5674,臺北市,2008
　文山區,木柵里,852,3116,4046,6219,臺北市,2008
　文山區,木新里,1349,2877,4304,7090,臺北市,2008
　文山區,順興里,1032,2515,3590,5658,臺北市,2008
　文山區,忠順里,351,1633,2028,3147,臺北市,2008
　文山區,樟林里,994,3148,4234,6687,臺北市,2008
　文山區,樟新里,1575,4116,5803,9313,臺北市,2008
　文山區,樟腳里,1331,3227,4643,7489,臺北市,2008
　文山區,萬芳里,918,2918,3909,6170,臺北市,2008
　文山區,萬美里,804,2464,3327,5539,臺北市,2008
　文山區,博嘉里,773,1755,2581,4134,臺北市,2008
　文山區,萬興里,1755,4449,6338,10004,臺北市,2008
　文山區,指南里,557,780,1364,2370,臺北市,2008
　文山區,老泉里,201,190,402,707,臺北市,2008
　楠梓區,清豐里,3640,3718,7410,12731,高雄市,2008
　楠梓區,東寧里,728,878,1618,2679,高雄市,2008
　楠梓區,五常里,1341,1188,2550,4669,高雄市,2008
　楠梓區,享平里,907,755,1670,2730,高雄市,2008
　楠梓區,中陽里,992,636,1633,2592,高雄市,2008
　楠梓區,惠楠里,662,679,1346,2558,高雄市,2008
　楠梓區,惠民里,1026,1015,2059,3362,高雄市,2008
　楠梓區,惠豐里,898,1222,2129,3673,高雄市,2008
　楠梓區,錦屏里,1320,676,2018,3274,高雄市,2008
　楠梓區,玉屏里,1029,371,1406,2205,高雄市,2008
　楠梓區,金田里,1262,639,1911,3068,高雄市,2008
　楠梓區,稔田里,676,248,934,1526,高雄市,2008
　楠梓區,瑞屏里,1050,1075,2138,3441,高雄市,2008
　楠梓區,翠屏里,2171,4367,6574,11170,高雄市,2008
　楠梓區,宏南里,289,779,1073,1647,高雄市,2008
　楠梓區,宏毅里,1000,844,1856,2781,高雄市,2008
　楠梓區,宏榮里,545,1005,1554,2249,高雄市,2008
　楠梓區,廣昌里,798,1097,1914,2976,高雄市,2008
　楠梓區,久昌里,498,847,1353,2266,高雄市,2008
　楠梓區,大昌里,434,867,1306,1991,高雄市,2008
　楠梓區,福昌里,637,595,1238,1883,高雄市,2008
　楠梓區,盛昌里,1119,1819,2950,4549,高雄市,2008
　楠梓區,泰昌里,407,515,929,1426,高雄市,2008
　楠梓區,興昌里,997,1183,2187,3473,高雄市,2008
　楠梓區,建昌里,638,908,1554,2462,高雄市,2008
　楠梓區,宏昌里,568,984,1558,2496,高雄市,2008
　楠梓區,和昌里,537,801,1348,2045,高雄市,2008
